LSOA11CD,LSOA11NM,WD20CD,WD20NM,LAD20CD,LAD20NM,FID
E01000354,Bexley 011B,E05011223,Crook Log,E09000004,Bexley,28313
E01000356,Bexley 009A,E05011223,Crook Log,E09000004,Bexley,28314
E01000357,Bexley 009B,E05011223,Crook Log,E09000004,Bexley,28315
E01000358,Bexley 011D,E05011223,Crook Log,E09000004,Bexley,28316
E01000361,Bexley 020C,E05011223,Crook Log,E09000004,Bexley,28317
E01000363,Bexley 020D,E05011223,Crook Log,E09000004,Bexley,28318
E01000366,Bexley 015D,E05011223,Crook Log,E09000004,Bexley,28319
E01000389,Bexley 020E,E05011223,Crook Log,E09000004,Bexley,28320
E01000390,Bexley 020F,E05011223,Crook Log,E09000004,Bexley,28321
E01000058,Barking and Dagenham 018D,E05000033,Goresbrook,E09000002,Barking and Dagenham,28322
E01000059,Barking and Dagenham 013C,E05000033,Goresbrook,E09000002,Barking and Dagenham,28323
E01000124,Barnet 010E,E05000043,Brunswick Park,E09000003,Barnet,28324
E01000060,Barking and Dagenham 006B,E05000034,Heath,E09000002,Barking and Dagenham,28325
E01000010,Barking and Dagenham 015C,E05000026,Abbey,E09000002,Barking and Dagenham,28326
E01000125,Barnet 024A,E05000044,Burnt Oak,E09000003,Barnet,28327
E01000061,Barking and Dagenham 006C,E05000034,Heath,E09000002,Barking and Dagenham,28328
E01000011,Barking and Dagenham 016C,E05000026,Abbey,E09000002,Barking and Dagenham,28329
E01000126,Barnet 026A,E05000044,Burnt Oak,E09000003,Barnet,28330
E01000062,Barking and Dagenham 006D,E05000034,Heath,E09000002,Barking and Dagenham,28331
E01000012,Barking and Dagenham 015D,E05000026,Abbey,E09000002,Barking and Dagenham,28332
E01000127,Barnet 024B,E05000044,Burnt Oak,E09000003,Barnet,28333
E01000063,Barking and Dagenham 004A,E05000034,Heath,E09000002,Barking and Dagenham,28334
E01000013,Barking and Dagenham 013A,E05000027,Alibon,E09000002,Barking and Dagenham,28335
E01000128,Barnet 024C,E05000044,Burnt Oak,E09000003,Barnet,28336
E01000064,Barking and Dagenham 006E,E05000034,Heath,E09000002,Barking and Dagenham,28337
E01000014,Barking and Dagenham 013B,E05000027,Alibon,E09000002,Barking and Dagenham,28338
E01000129,Barnet 024D,E05000044,Burnt Oak,E09000003,Barnet,28339
E01000065,Barking and Dagenham 007A,E05000034,Heath,E09000002,Barking and Dagenham,28340
